AKB_FILIAL;AKB_PROCES;AKB_ITEM;AKB_DESCRI;AKB_ORIGEM;AKB_ENTIDA;AKB_INDICE;AKB_PERMR;AKB_CFGON;AKB_ESTORN
01;000009;46;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor  dos Juros (estorno)                  ";"  ";SEI;1;" ";2;" "
01;000009;47;"RESGATE DE APLICACOES/EMPRESTIMOS - Variacao Cambial a Longo Prazo (estorno)    ";"  ";SEI;1;" ";2;" "
01;000009;48;"RESGATE DE APLICACOES/EMPRESTIMOS - Variacao Cambial a Curto Prazo (estorno)    ";"  ";SEI;1;" ";2;" "
01;000009;49;"RESGATE DE APLICACOES/EMPRESTIMOS - Variacao Cambial dos Juros (estorno)        ";"  ";SEI;1;" ";2;" "
01;000009;50;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Longo Prazo (estorno)              ";"  ";SEI;1;" ";2;" "
01;000009;51;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Curto Prazo (estorno)              ";"  ";SEI;1;" ";2;" "
01;000009;52;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Juro (estorno)                     ";"  ";SEI;1;" ";2;" "
01;000009;53;"RESGATE DE APLICACOES/EMPRESTIMOS - Pagto do Valor do IRF (estorno)             ";"  ";SEI;1;" ";2;" "
01;000009;54;"RESGATE DE APLICACOES/EMPRESTIMOS - Pagto das Despesas (estorno)                ";"  ";SEI;1;" ";2;" "
01;000009;55;"RESGATE DE APLICACOES/EMPRESTIMOS - Pagto do GAP (estorno)                      ";"  ";SEI;1;" ";2;" "
01;000009;56;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do Debito (estorno)                   ";"  ";SEI;1;" ";2;" "
01;000009;57;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao dos Juros (estorno)             ";"  ";SEI;1;" ";2;" "
01;000009;58;RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao Var.Cambial a Longo Prazo (estor;"  ";SEI;1;" ";2;" "
01;000009;59;RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao Var.Cambial a Curto Prazo (estor;"  ";SEI;1;" ";2;" "
01;000009;60;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao Var.Cambial dos Juros (estorno) ";"  ";SEI;1;" ";2;" "
01;000010;01;"APROPRIACAO DE APLICACOES/EMPRESTIMO - APROPRIACAO DE EMPRESTIMO                ";"  ";SEH;1;" ";2;" "
01;000010;02;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao do IRF (Inclusao)   ";"  ";SEI;1;" ";2;" "
01;000010;03;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao do IOF (Inclusao)   ";"  ";SEI;1;" ";2;" "
01;000010;04;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao de taxas (Inclusao) ";"  ";SEI;1;" ";2;" "
01;000010;05;APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao dos Juros  (Inclusao;"  ";SEI;1;" ";2;" "
01;000010;06;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao Var.Cambial a Longo ";"  ";SEI;1;" ";2;" "
01;000010;07;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao Var.Cambial a Curto ";"  ";SEI;1;" ";2;" "
01;000010;08;APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao Var.Cambial dos Juro;"  ";SEI;1;" ";2;" "
01;000010;09;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao do IRF (estorno)    ";"  ";SEI;1;" ";2;" "
01;000010;10;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao do IOF (estorno)    ";"  ";SEI;1;" ";2;" "
01;000010;11;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao de taxas (estorno)  ";"  ";SEI;1;" ";2;" "
01;000010;12;APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao dos Juros  (estorno);"  ";SEI;1;" ";2;" "
01;000010;13;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao Var.Cambial a Longo ";"  ";SEI;1;" ";2;" "
01;000010;14;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao Var.Cambial a Curto ";"  ";SEI;1;" ";2;" "
01;000010;15;APROPRIACAO DE APLICACOES/EMPRESTIMO - Emprest.-Apropriacao Var.Cambial dos Juro;"  ";SEI;1;" ";2;" "
01;000010;16;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Apropriacao de aplicacao                 ";"  ";SEH;1;" ";2;" "
01;000010;17;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao do IRF (Inclusao)     ";"  ";SEI;1;" ";2;" "
01;000010;18;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao do IOF (Inclusao)     ";"  ";SEI;1;" ";2;" "
01;000010;19;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao de Taxas (Inclusao)   ";"  ";SEI;1;" ";2;" "
01;000010;20;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao dos Juros  (Inclusao) ";"  ";SEI;1;" ";2;" "
01;000010;21;APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao Var.Cambial a Longo Pr;"  ";SEI;1;" ";2;" "
01;000010;22;APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao Var.Cambial a Curto Pr;"  ";SEI;1;" ";2;" "
01;000010;23;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao Var.Cambial dos Juros ";"  ";SEI;1;" ";2;" "
01;000010;24;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao do IRF (estorno)      ";"  ";SEI;1;" ";2;" "
01;000010;25;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao do IOF (estorno)      ";"  ";SEI;1;" ";2;" "
01;000010;26;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao de Taxas (estorno)    ";"  ";SEI;1;" ";2;" "
01;000010;27;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao dos Juros  (estorno)  ";"  ";SEI;1;" ";2;" "
01;000010;28;APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao Var.Cambial a Longo Pr;"  ";SEI;1;" ";2;" "
01;000010;29;APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao Var.Cambial a Curto Pr;"  ";SEI;1;" ";2;" "
01;000010;30;"APROPRIACAO DE APLICACOES/EMPRESTIMO - Aplic.-Apropriacao Var.Cambial dos Juros ";"  ";SEI;1;" ";2;" "
01;000011;01;"APROPRIACAO DE APLICACAO POR COTAS - Apropriacao de aplicacao por cotas         ";"  ";SEH;1;" ";2;" "
01;000011;02;"APROPRIACAO DE APLICACAO POR COTAS - Valor do IR (inclusao)                     ";"  ";SEI;1;" ";2;" "
01;000011;03;APROPRIACAO DE APLICACAO POR COTAS - Valor do Rendimento na Retencao IR (inclusa;"  ";SEI;1;" ";2;" "
01;000011;04;"APROPRIACAO DE APLICACAO POR COTAS - Valor do IR (estorno)                      ";"  ";SEI;1;" ";2;" "
01;000011;05;APROPRIACAO DE APLICACAO POR COTAS - Valor do Rendimento na Retencao IR (estorno;"  ";SEI;1;" ";2;" "
01;000012;01;"BAIXAS A RECEBER AUTOMATICA - Baixas por bordero de recebimento                 ";"  ";SE5;2;" ";2;" "
